RB,,RB2,,Lig,,Jug,,PN,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
535,0.4868707359,535,0.48814556,535,0.02976074815,535,0.00469896337,535,0.008774602786,
534,0.4593937397,534,0.4607392251,534,0.02971955575,534,0.004718772601,534,0.008768686093,
533,0.4336590469,533,0.4351774454,533,0.0295508597,533,0.004704641644,533,0.008812746964,
532,0.4103443325,532,0.4119853973,532,0.0295671802,532,0.00477551017,532,0.008895015344,
531,0.3887315392,531,0.3905292749,531,0.02951719426,531,0.004851887468,531,0.008829521015,
530,0.3693952262,530,0.3713269532,530,0.02948333882,530,0.00478372816,530,0.008882359602,
529,0.3521262407,529,0.3541640341,529,0.02949738503,529,0.004912490956,529,0.008922521025,
528,0.3369646668,528,0.3391268551,528,0.02950611338,528,0.004970903508,528,0.008929100819,
527,0.3239087164,527,0.326095432,527,0.02953930572,527,0.005010731053,527,0.008966809139,
526,0.3125519156,526,0.3149296343,526,0.02945267223,526,0.005053259898,526,0.00899384357,
525,0.3033655584,525,0.3057350516,525,0.02954271436,525,0.005108286161,525,0.009002565406,
524,0.2958682775,524,0.2982784212,524,0.02952326275,524,0.005060304422,524,0.008976454847,
523,0.2900289297,523,0.292527765,523,0.02954631485,523,0.005117505789,523,0.008995534852,
522,0.2858111858,522,0.2883428931,522,0.02973349765,522,0.00520127872,522,0.009095549583,
521,0.2829625607,521,0.2855024636,521,0.0297891926,521,0.005313681904,521,0.009165446274,
520,0.2812255323,520,0.2837699354,520,0.02986028232,520,0.005351942498,520,0.009121349081,
519,0.2805315554,519,0.2830594182,519,0.03001140058,519,0.005496785976,519,0.009224617854,
518,0.2804107666,518,0.2829719484,518,0.03010191768,518,0.005503418855,518,0.009176444262,
517,0.280857116,517,0.2833359838,517,0.0301828552,517,0.005602343008,517,0.009234613739,
516,0.2813184261,516,0.2838339806,516,0.03025412001,516,0.005610524677,516,0.009258438833,
515,0.2817160785,515,0.2841771543,515,0.03034668788,515,0.005722902715,515,0.00927078817,
514,0.2817585468,514,0.2841557562,514,0.03044024669,514,0.005813088734,514,0.00925867632,
513,0.2811236382,513,0.2834794521,513,0.03058318049,513,0.005909590982,513,0.009302310646,
512,0.2796383202,512,0.2818538249,512,0.03061589971,512,0.005995222367,512,0.009263939224,
511,0.2771296501,511,0.2793651223,511,0.03072529845,511,0.006107568741,511,0.009303289466,
510,0.2734088898,510,0.275611192,510,0.03077964671,510,0.006211200263,510,0.009316300973,
509,0.2685262859,509,0.2706825137,509,0.03083777986,509,0.006323051173,509,0.009408426471,
508,0.2623899579,508,0.2645438612,508,0.03090470657,508,0.006360717583,508,0.009366950952,
